Text,Sentiment
 Introduction Recent works in statistical machine translation  SMT  shows how phrasebased modeling  significantly outperform the historical wordbased modeling  Tools like Xtract  were based on the work of Church and others  but made a step forward by incorporating various statistical measurements like zscore and variance of distribution  as well as shallow linguistic techniques like partofspeech tagging and lemmatization of input data and partial parsing of raw output Minimum Error Rate Training A good way of training is to minimize empirical top error on training data  ,Positive
Finally  to estimate the parameters i of the weighted linear model  we adopt the popular minimum error rate training procedure  which directly optimizes translation quality as measured by the BLEU metric ,Positive
According to the document  it is the output of Ratnaparkhis tagger  ,Neutral
"Many statistical translation models can be regarded as weighted logical deduction. Under this paradigm, we use weights from the expectation semiring (Eisner, 2002), to compute first-order statistics (e.g., the expected hypothesis length or feature counts) over packed forests of translations (lattices or hypergraphs).",Neutral
"Lewis proposed the proportional assignment strategy based on the probabilistic ranking principle (Lewis, 1992). ",Neutral
This can be done in a supervised   a semisupervised  or a fully unsupervised way  Equation  3  reads If the target noun appears  then it is distinguished by the majority The loglikelihood ratio  decides in which order rules are applied to the target noun in novel context ,Neutral
"However, due to the challenges in providing semantic representation, semantic abstraction has not been widely pursued, although the TOPIC system (Hahn and Reimer, 1999) is a notable exception. ",Positive
2 Data 21 The US Congressional Speech Corpus The text used in the experiments is from the United States Congressional Speech corpus   which is an XML formatted version of the electronic United States Congressional Record from the Library of Congress1 ,Neutral
FrameNet role annotations were mapped onto those dependency graph nodes that corresponded most closely to the annotated substring (see Fürstenau (2008) for a detailed description of the mapping algorithm). FrameNet role annotations were mapped onto those dependency graph nodes that corresponded most closely to the annotated substring (see Fürstenau (2008) for a detailed description of the mapping algorithm). ,Neutral
 Introduction Robust statistical syntactic parsers  made possible by new statistical techniques  and by the availability of large  handannotated training corpora such as WSJ  and Switchboard   have had a major impact on the field of natural language processing ,Positive
"Semantic interpretation is based on a categorical analysis that is underspecified in that it is a partial parse (cf. McDonald, 1992).  ",Neutral
 used the BaseNP tag set as presented in   I for inside a BaseNP  O for outside a BaseNP  and B for the first word in a BaseNP following another BaseNP ,Neutral
