Text,Sentiment
3 Building the CatVar The CatVar database was developed using a combination of resources and algorithms including the Lexical Conceptual Structure  LCS  Verb and Preposition Databases   the Brown Corpus section of the Penn Treebank   an English morphological analysis lexicon developed for PCKimmo  Englex    NOMLEX   Longman Dictionary of Contemporary English 2For a deeper discussion and classification of Porter stemmers errors  see  ,Neutral
Table 2  Figures about clustering algorithms Algorithm  Sentences   Clusters SHAC 623 CHAC 217 QT 232 EM 416 In fact  table 2 shows that most of the clusters have less than 6 sentences which leads to question the results presented by  who only keep the clusters that contain more than 10 sentences ,Negative
The scheme is fully implemented within a version of the Spoken Language Translator system Rayner et al 1993 Agniis et al 1994 and is normally applied to input in the form of small lattices of hypotheses produced by a speech recognizer ,Neutral
Our baseline method for ambiguity resolution is the Collins parser as implemented by Bikel  We then built separate EnglishtoSpanish and SpanishtoEnglish directed word alignments using IBM model 4   combined them using the intersect  grow heuristic   and extracted phraselevel translation pairs of maximum length 7 using the alignment template approach  ,Neutral
We also extend the work of Zollmann et al 2008 on ChineseEnglish performing the analysis in both directions and providing a detailed qualitative explanation,Neutral
a timeconsuming process  Other statistical machine translation systems such as  and  also produce a tree a15 given a sentence a16 Their models are based on mechanisms that generate two languages at the same time  so an English tree a15 is obtained as a subproduct of parsing a16 However  their use of the LM is not mathematically motivated  since their models do not decompose into Pa4a5a2a9a8a3a10a6 and a12a14a4a5a3a7a6 unlike the noisy channel model ,Negative
The SPECIALIST minimal commitment parser relies on the SPECIALIST Lexicon as well as the Xerox stochastic tagger Cutting et al 1992 ,Neutral
This model can be seen as an extension of the standard Maximum Entropy Markov Model MEMM see Ratnaparkhi 1996 with an extra dependency on the predicate label we will henceforth refer to this model as MEMMpred ,Neutral
As mentioned by Pradhan et al 2004 argument identification plays a bottleneck role in improving the performance of a SRL system The effectiveness of the proposed additional pruning techniques may be seen as a significant improvement over the original algorithm of Xue and Palmer 2004 ,Positive
Veale  used WordNet to answer 374 multiplechoice SAT analogy questions  achieving an accuracy of 43   but the best corpusbased approach attains an accuracy of 56   ,Positive
Each backbone produces a separate CN and the decision of which CN to choose is taken at a later decoding stage but this still restricts the possible orders and alignments greatly Rosti et al 2008 Matusov et al 2008,Neutral
 extracts rules from nonanaphoric noun phrases and noun phrases patterns  which are then applied to test data to identify existential noun phrases ,Neutral
When compared to other kernel methods  our approach performs better than those based on the Tree kernel   and is only 02  worse than the best results achieved by a kernel method for parsing  Lexical relationships under the standard IBM models  do not account for manytomany mappings  and phrase extraction relies heavily on the accuracy of the IBM wordtoword alignment ,Negative
In a study of professional abstracting EndresNiggemeyer 2000 concluded that professional abstractors produce abstracts by cutandpaste operations and that standard sentence patterns are used in their production ,Neutral
The systems discussed in Hovy 1993 relied on a knowledge base and a representation of discourse Structure ,Neutral
On the other hand  integrating an additional component into a baseline SMT system is notoriously tricky as evident in the research on integrating word sense disambiguation  WSD  into SMT systems  different ways of integration lead to conflicting conclusions on whether WSD helps MT performance  ,Positive
The overall POS tag distribution learned by EM is relatively uniform  as noted by   and it tends to assign equal number of tokens to each tag label whereas the real tag distribution is highly skewed ,Neutral
In order to determine word boundaries we employed the longest matching algorithm Sornlertlamvanich 1993 ,Positive
Also it ispossible to cast a number of other useful problems as partofspeech tagging problemssuch as lettertosound translation Huang SonBell and Baggett 1994 and buildingpronunciation networks for speech recognition,Positive
The first solution might also introduce errors elsewhere As  already noted  ` While this automatic derivation process introduced a small percentage of errors on its own  it was the only practical way both to provide the amount of training data required and to allow for fullyautomatic testing  1 To train their system  R&M used a 200kword chunk of the Penn Treebank Parsed Wall Street Journal  tagged using a transformationbased tagger  and extracted base noun phrases from its parses by selecting noun phrases that contained no nested noun phrases and further processing the data with some heuristics  like treating the possessive marker as the first word of a new base noun phrase  to flatten the recursive structure of the parse ,Neutral
In a previous paper Schfitze 1993 we trained a neural network to disambiguate partofspeech using context however no information about the word that is to be categorized was used,Negative
We use GIZA    to train generative directed alignment models  HMM and IBM Model4  from training recordtext pairs ,Neutral
Yarowsky and Wicentowski 2000 present a corpusbased approach for morphological analysis of both regular and irregular forms based on four models including relative corpus frequency context similarity weighted string similarity and incremental retraining of inflectional transduction probabilities ,Neutral
Finally  to estimate the parameters i of the weighted linear model  we adopt the popular minimum error rate training procedure  which directly optimizes translation quality as measured by the BLEU metric ,Positive
 and Collins and Duffy  2002  rerank the top N parses from an existing generative parser  but this kind of approach 1Dynamic programming methods  can sometimes be used for both training and decoding  but this requires fairly strong restrictions on the features in the model Ever since its introduction in general  and in computational linguistics   many researchers have pointed out that there are quite some problems in using  eg ,Negative
As the tagger of  can not tag a word lattice  we can not back off to this tagging Pointwise mutual information  PMI  is commonly used for computing the association of two terms   which is defined as  nullnullnull null null  null null nullnullnull nullnullnullnull  nullnull nullnull null null null nullnullnullnullnull However  we argue that PMI is not a suitable measure for our purpose ,Negative
 present a system called BABAR that uses contextual role knowledge to do coreference resolution ,Neutral
Although the authors of  stated that they would discuss the search problem in a followup arti cle  so far there have no publications devoted to the decoding issue for statistical machine translation This strategy is commonly used in MT evaluation  because of BLEUs wellknown problems with documents of small size  ,Negative
 Introduction Robust statistical syntactic parsers  made possible by new statistical techniques  and by the availability of large  handannotated training corpora such as WSJ  and Switchboard   have had a major impact on the field of natural language processing ,Positive
In Weischedel et al 1993 a statistical approach to tagging unknown words isShown,Neutral
This task introduced by Landauer and Dumais 1997 consists of 80 multiple choice questions in which a word is given as the stem and the correct choice is the word which has the closest meaning to that of the stem among 4 candidates ,Neutral
As keyboard input is more efficient than mouse input cf Lehmalm et al 1995 mnost effort has been put in developing an efficient keyboard interLace ,Neutral
Algorithm 1 SCL  1  Select m pivot features ,Neutral
In DeMarcken 1990 and Weischedel et al 1993 kbest tags are assignedwithin a stochastic tagger by returning all tags within some threshold of probabilityof being correct for a particular word,Neutral
As is well known the extractive summary that has been extensively studied from the early days of summarization history Luhn 1958 suffers from various drawbacks ,Negative
Automatic summarization offers potential help in managing such results however the most popular approach extraction faces challenges when applied to multidocument summarization McKeown et al 2001 ,Neutral
This is very similar to Brill's use of contexts to induce transformation rules for his tagger Brill 1992 Brill 1995 but instead of generating transformation rules from a training text we gather statistics and apply them to parses in the text being disambiguated ,Neutral
The first SMT systems were developed in the early nineties  ,Neutral
Connectionist models have been used successfully for lexical acquisition Eineborgand Gamback 1993 Elenius 1990 Elenius and Carlson 1989 Nakamura et al 1990,Neutral
We compare our approach with a method proposed by Frstenau and Lapata 2009 ,Neutral
We measure coselection between sentences produced by each methodand the sentences selected by the assessors computing recall precision and Fscoreas in Firmin and Chrzanowski 1999 ,Positive
FrameNet role annotations were mapped onto those dependency graph nodes that corresponded most closely to the annotated substring see Frstenau 2008 for a detailed description of the mapping algorithm ,Neutral
Support Vector Machines  SVMs   and Maximum Entropy  ME  method  are powerful learning methods that satisfy such requirements  and are applied successfully to other NLP tasks  ,Positive
Other techniques exist for boosting thescore of longer phrases such as adjusting the score of the phrase by a fixed factor thatdepends on the length of the phrase Turney 1999,Neutral
3 Evaluation We trained our model parameters on a subset of the provided dev2006 development set  optimizing for caseinsensitive IBMstyle BLEU  with several iterations of minimum error rate training on nbest lists ,Neutral
