Text,Sentiment
This and other optimizations of regeneration are described in [9],Neutral
While these approaches have had som e success to date   their usability as parsers in systems for natural language understanding is suspect ,Negative
"Batyuk et al.(2011) introduced Androlyzer, a server based solution that focuses mainly on informing users about apps potential security and privacy risks",Neutral
"First, splitting and merging of sentences (Jing and McKeown, 2000), which seems related to content planning and aggregation. ",Neutral
It is faster and more mnemonic than the one in  1 Introduction Translations tables in Phrasebased Statistical Machine Translation  SMT  are often built on the basis of Maximumlikelihood Estimation  MLE   being one of the major limitations of this approach that the source sentence context in which phrases occur is completely ignored  ,Negative
"4.2. Goodness-of-fit using 10-fold cross validation
Suppose we are given an APFA  with known edge probabilities , and a commensurate data set  of the form  for . As a measure of how well the model  fits the data set, , Thollard et al. (2000) and others suggest using a quantity called the per symbol log likelihood (psLL) for this purpose. It is defined as
(9)
where  is the number of observations in  whose root-to-sink path in  passes through , and  are the known edge probabilities. Note that since each observation in passes through  edges in , psLL is the average value of  obtained when  generates . Thus psLL is a measure of how well  fits .",Neutral
There are many research directions  eg  sentiment classification  classifying an opinion document as positive or negative    subjectivity classification  determining whether a sentence is subjective or objective  and its associated opinion    featuretopicbased sentiment analysis  assigning positive or negative sentiments to topics or product features   Hu and Liu 2004  Popescu and Etzioni  2005  Carenini et al  2005  Ku et al  2006  Kobayashi  Inui and Matsumoto  2007  Titov and  ,Neutral
Papers on existing online expert communities such as Slashdot [20] and Yahoo! answers [21] yield specific knowledge about the social network structure and expertise distribution that need to be supported by a team composition mechanism.,Positive
"Besides,there is another method of generating a chaotic sequence, the gradient model with sinusoidal perturbations (GP) [16].",Neutral
"However, in our case we apply the approximated median background model (McFarlane and Schofield, 1995).",Neutral
"Most successfulmethods have followed speech recognition systems (Jelinek, Mercer, and Roukos 1992)and used large corpora to deduce the probability of each part of speech in the currentcontext (usually the two previous words--trigrams). These methods have reportedperformance in the range of 95-99% ""correct"" by word (DeRose 1988; Cutting et al.1992; Jelinek, Mercer, and Roukos 1992; Kupiec 1992).",Positive
"Generalizations of all three lemmas appear in Appendix A of [24] as consequences of an algebraic version of Sardâs Theorem. Indeed, Lemma 3.2 is proved as Theorem A.6.1 in [24]. Similarly, Lemma 3.4 is proven in more generality as Corollary A.4.19 of [24].",Negative
Sentiment classification at the sentencelevel has also been studied  ,Neutral
"Second, we propose a more generic model of transient synchronization based on a Weakly Coupled Oscillator (WCO) framework (Hoppensteadt & Izhikevich, 1997). WCOs are a standard approach for studying synchronization dynamics (Hoppensteadt & Izhikevich, 1997) and can be derived by applying a phase reduction approach to neurophysiologically realistic neural (Gutkin, Ermentrout, & Reyes, 2005) or neural network (Brown, Moehlis, & Holmes, 2004) models.",Positive
"The covariance structures in the observation equation, R, should be generalized and prior knowledge could be incorporated into it [1].",Positive
Metrics in the Rouge family allow for skip ngrams   Kauchak and Barzilay  take paraphrasing into account  metrics such as METEOR  and GTM  calculate both recall and precision  METEOR is also similar to SIA  in that word class information is used ,Neutral
"More recently, Brincat and Miller (2015) have reported neurophysiological data that support the distinction between category learning within the attentional system that includes prefrontal cortex, and the orienting system that includes the hippocampus. ",Neutral
"This modeling approach is well accepted and can be found, e.g., in Albanese etÂ al. (2013), de Barros Barreto etÂ al. (2013), Musman etÂ al. (2011). Fig.Â 1 shows a sketch of a BPMN model used throughout this paper.Designing such BPMN models is handled manually by an expert from a company or by an external business consultant having a precise expertise in the understanding of business analysis. ",Positive
"The alignment method described in Section 3 falls into a class of tree comparisonalgorithms extensively studied in theoretical computer science (Sankoff 1975; Findenand Gordon 1985; Amir and Keselman 1994; Farach, Przytycka, and Thorup 1995)and widely applied in many areas of computer science, primarily computational bi-ology (Gusfield 1997).",Neutral
"For a detailed description of these concepts and their underlying principles, the reader is referred to Ehrgott and Gandibleux (2002, 2004) and Ehrgott (2005).",Neutral
