Text,Sentiment
"Feldmann et al. (2012) analyzed the approaches and challenges for modularity, variant and version management in aPS.",Neutral
"In reality, any long-term decision making takes into account a number of non-economic factors such as acceptance of a decision by various groups including the public, decision-makers, stakeholders and experts (Geldermann et al., 2009) alongside the standard radiological and economic evaluation methods.",Neutral
"We selected (ws,wf,c1,c2)=(0.7,0.2,2.0,2.0) for PSO-IWA, which were more appropriate parameter values for high-dimensional problems than those recommended in papers[5], and we selected (wc,cc1,cc2)= (0.5,2.0,2.0)for CEPSOA.",Positive
"Section 5, we describe the connection of this perturbation approach to the deflation approach of [9], the method of regenerative cascade [10], and a very early technique in the field known as the cheaterâs homotopy [17] in which the authors made use of a perturbation of fË(z) for somewhat different reasons. It is important to note that our perturbation is virtually the same as the cheaterâs homotopy, in the case where there are no parameters.",Neutral
"Apache Storm is an open-source distributed stream processing system that has been adopted by many enterprises, despite limitations regarding QoS maintenance, privacy, and security  [42].",Positive
"To improve the quality of service without putting too much of a burden on the peers, the authors of  [42] also suggest two different peer selection policies: Water Levelling (WL) and Greedy Policy (GP). ",Neutral
"The approaches to motion estimation are biomechanical based [5,7], silhouette based [2,3,6,11,12] and image based [1,4,8–10]. A biomechanical-based approach involves tissue analysis and bone and joint location, which requires expensive devices and equipment. Silhouette-based estimation is analyzed by the silhouette extract from a human image file. It is always challenging when the estimation involves more than one subject. Image-based estimation involves the extraction of still figures from video motion data.",Neutral
"More recently, Brincat and Miller (2015) have reported neurophysiological data that support the distinction between category learning within the attentional system that includes prefrontal cortex, and the orienting system that includes the hippocampus. ",Neutral
"Batyuk etÂ al. (2011) introduced Androlyzer, a server based solution that focuses mainly on informing users about apps potential security and privacy risks. To do this, Androlyzer first does the reverse engineering of the app, and then a static analysis to determine possible flaws. In addition, Androlyzer provides an approach to mitigate the identified flaws by modifying the examined app based on users' preferences. However, Androlyzer does not use an expressive policy language to support users in enforcing their security requirements into an app.",Positive
"This hypothesis is supported by neurophysiological studies evidencing strong links between the cortical areas governing visual and language processing, and suggesting high levels of functional interaction of these areas for the formation of multimodal representations of audiovisual stimuli ( Belin, Zatorre, Lafaille, Ahad, & Pike, 2000; Foxe et al., 2000; Belin, Zatorre, & Ahad, 2002; Pulverm ller, 2005; Raij, Uutela, & Hari, 2000).",Neutral
"TD and TDM receive attention currently both in the academia and the industry (Li et al., 2015a). Researchers and practitioners are becoming more interested in the concept of TD and the reasons why it should be an essential part of decision-making in software development (Falessi et al., 2014).",Positive
"Prior research has investigated the success factors of the iPhone ( Laugesen and Yuan, 2010; West and Mace,2010), the distribution and capture of value in the mobile phone supply chains ( Dedrick, Kraemer, andLinden, 2011), developers perspectives on the mobile application markets ( Lee, Lee, Shim, and_Choi, 2010; Holzer and Ondrus, 2011; Schultz, Zarnekow, Wulf, and Nguyen, 2011 ), the dynamics of the application marketplaces ( J rvi and Kortelainen, 2011; Hyrynsalmi, Suominen, and Sepp nen, 2013; Jansen and Bloemendal, 2013), standard wars and platform battles ( Heinrich, 2014; Gallagher, 2012; van de Kaa and de Vries, 2015; van de Kaa, van den Ende, de Vries and van Heck,. 2011 ) and cooperation within ecosystems ( Gueguen and Isckia, 2011)",Neutral
