Text,Sentiment
This extremely simple approach is  so effective that PSO have been applied to many optimization problems arising invarious fields of science and engineering7,Positive
Dilla and Steibart 13 confirm that additional mental calculations increase the potential of making mistakes,Positive
The logic behind establishing the ecosystems is grounded on the theory of network externalities  Katz and Shapiro1985,Neutral
Bernacchia and Pigolotti 2011 use this relationship and the result of Watson and Leadbetter 1963 which states that the mean squared error of a kernel density estimate is minimized if the kernel satisfies the equation,Positive
Skin color can be modeled using a number of techniques including the Gaussian mixture model  Greenspan et al 2001 and the Bayesian classifier  Jones and Rehg 2002,Neutral
 Three data sets commonly used in the literature were employed for this purpose namely UIUC 9 Outex 13 and KTHTIPS2b 2 ,Positive
 Similarly Song et al 2013 propose a compositional approach for the probability reachability analysis of Discrete Time Markov Chains that decomposes the system into strongly connected components or even parts of them analyze them using GaussJordan Elimination Althoen and McLaughlin 1987 and afterwards use value iteration to compute the result for the complete model based on the individually analyzed parts,Neutral
The effects of additional support provided by graphical aids are often seen as a tradeoff between the benefits of minimizing errors and the cognitive effort or time needed in a particular task environment 22 ,Neutral
Kuhn 20 presents a treatise on the nature and reasons behind revolutions in scientific understanding,Neutral
In CEP systems users create queries or rules that specify how to process input event streams and derive complex events These queries have usually been defined by means of proprietary languages such as Aurora Stream Query Algebra SQuAl  17 and CQL  21,Neutral
Opinion leaders are consumers who provide information to others that influences their consumption decisions 22 by obtaining key information through research and shaping their own opinions earlier than the general public,Neutral
Purposes are closely linked with values and motivations McAllister 1999 and they are important to an evaluation because particular methods are likely to appear more or less useful depending on the purposes being pursued ,Neutral
Exact values for the constant K in 37 and thus for the constant c in 35 can be derived from 60 ,Positive
The first paradigm is called Complementary Computing Grossberg 2000a ,Neutral
We compare the model selection algorithm described in the previous section with that described by Browning and Browning 2007a and implemented in Beagle in two ways firstly by comparing their rate of convergence as the sample size increases using simulation and secondly by assessing the goodnessoffit of the selected model using tenfold crossvalidation,Positive
For a better understanding of its functionality we describe KAMAS according to five steps based on the visual information seeking mantra by Shneiderman 1992 overview first rearrange and filter detailsondemand then extract and analyze further,Positive
Powers of matrices over distributive lattices are studied eg by Cechlárová 11,Positive
One found Bubble Sets outperformed LineSets 24 whereas another found that KelpFusion outperformed LineSets which in turn outperformed Bubble Sets 28 ,Positive
It can be defined as the minimal total cost of a sequence of elementary edit operations to transform one sequence into the other for a se quence x of length m and a sequence y of length n  it can be com puted in time Omn  8 ,Neutral
Simulated Annealing 47 SA and Genetic Algorithms 48 GA are two common heuristics suitable for the underlying problem type,Neutral
These studies did not focus on evaluating of variables for use in regression models nor did they compare linear and polynomial regression models,Negative
 Therefore the consideration of fuzziness is superior to that of Chen 7 Chen did not consider the estimated reliability of the system in the fuzzy sense,Negative
The notion that regions higher up in the auditory cortical hierarchy process information at longer time scales has recently been made use of in a model of auditory sequence recognition based on stable heteroclinic channels  Kiebel Kriegstein Daunizeau  Friston 2009,Neutral
The WCET is a local property of the program that is the service attached to the interface in question composability in the time dimension Puschner et al 2009 is achieved if the interfering effect caused by the presence of other components in the system does not prevent a safe and tight WCET bound to be determined for every single interface service,Neutral
The underlying problem is that the isinthesliceof graph is dense and no traditional clustering can handle such dense graphs,Negative
Harman and McMinn 2010 recently determined that global search is more effective than local search but less efficient as it is more costly,Positive
 These evaluations are often based on explicit criteria reflecting the researchers experience a given theory a literature review andor stakeholder expectations generated through a consultative exercise Beierle and Konisky 2000 Rowe and Frewer 2004 ,Neutral
A more detailed description on how structure checking is performed is in 46,Positive
This assumption together with the regular grid mesh topology selected in this paper for our numerical and simulation campaigns allows us to isolate HT problems from other interference sources ,Positive
Typically the models that are developed during system design are in later phases converted to source code by code generation This process is called Forward Engineering Sendall and Kster 2004 ,Neutral
On the other hand several developmental studies have shown that human infants are able to learn actionword mappings also in the presence of missing ambiguous or sometimes contradictory referents using crosssituational statistics Smith  Yu 2008,Positive
According to the most commonly accepted definition Big Data is characterized by the 4 Vs  3 volume velocity variety and veracity,Neutral
Grossberg and Versace 2008 Palma Grossberg and Versace 2012 and Palma Versace Grossbergand 2012 have furthermore proposed how mismatchactivated acetylcholine release may regulate vigilance in laminar neocortical circuits that are described by spiking neurons during category learning,Neutral
 Furthermore in Vepsalainen et al 2010 it was identified that the modeling of userdefined control logic is required in addition to the application of predefined control blocks ,Neutral
The experimental setup of the evaluation was based on commonly used standards cf Joachims et al 2007 and Kelly 2009 ,Neutral
In the problem domain of cyber security Fink et al 2009 developed a set of visualization design principles with a focus on highresolution displays and presented prototypes according to these design principles ,Negative
A more general statement than Lemma 33 is given as an exercise in 7 and a related result for a pure ddimensional algebraic subset is presented in 8 for d0,Positive
Therefore organizations providing home care services are inclined to optimize their activities in order to meet the constantly increasing demand for home care Koeleman Bhulai  van Meersbergen 2012,Neutral
 Though some results have been derived in 34 they only cover a very weak form of stability which states that the solutions of 2 with perturbed data stay close to the solution with unperturbed data if one additionally increases the regularization parameter Î² in the perturbed problem by a sufficient amount,Positive
Akkermans and Vos 2003 measured workload in a major US telecom company ,Neutral
RBF interpolation can be readily implemented as it does not require a triangulation to define the connectivity between the data points 22 ,Positive
