Text,Sentiment
"The result of such initiatives is to provide fast, accurate and useful information, improving the speed and precision of decision making ( Panian,_2008_CITE).",Neutral
"Therefore, they neither require specific software tools ( Lehtinen_et_al.,_2011,_2014b_CITE)",Neutral
"Following the design study methodology ( Sedlmair_et al.,_2012_CITE), reflection is the third contribution to a design study (retrospective analysis and lessons learned) for the improvement of current guidelines",Positive
"Since it is at most about 30 40% of the data is missing or noisy in practice [29]_CITE, we fix the ratio of the missing or noisy data to 30 40% to evaluate all the algorithms",Neutral
"Can human interaction over the internet be personally and socially transformative? The introduction of new, disruptive technology is always accompanied by a deep suspicion for example, the telephone was greeted by claims that it would break up home life and stop people from visiting friends ( Fischer,_1992;_Pool,_1983_CITE) and the internet has been no exception to this rule (see, eg, Putnam,_2000_CITE)",Neutral
"This reflects the relatively low haplotype diversity in this region ( Edwards,_2013_CITE)",Neutral
"Although CD as a goal (a target state) is no longer a new idea and has been well documented ( Humble_and_Farley,_2010_CITE), the adoption journey for CD is not yet a smooth path",Neutral
The algorithm was proved to be very competitive and outperformed our energy-based method and the method proposed by del_Solar_and_Verschae_(2004)_CITE,Negative
"The idea of formalizing a problem as a theorem and in such a way that its solution is in the instances used for the quantified variables in the proof is the fundamental principle behind the logic programming paradigm of computation, of which Prolog [19]_CITE is the most prominent language",Positive
"However, the case study methodology has also been used in economics (ibid.), and it has become more popular in software engineering as well ( Runeson and_H st, 2008_CITE).",Neutral
"In the early 1990s, a number of facial expression recognition researchers had a motivation of revolutionising the way we interact with technology [1]_CITE by enabling it to become more human like",Neutral
Rippler ( Zand_et al._CITE) is proposed to actively perturb or delay traffic to understand the dependencies between service and devices,Neutral
"This matches with the evidence from Fukushima ( Munro,_2013_CITE)",Neutral
"The purpose of this step was to eliminate or minimise the possibility that the recruiters interview-based impressions of a job seeker would contaminate their evaluation of the job seeker self-presentation ( Tsai_et_al.,_2011_CITE)",Neutral
"To avoid drifting in classifier grids ( Roth_et_al.,_2009_CITE) applied fixed update strategies",Neutral
