Citation_Text,Sentiment,Source
"…for ovarian and other similar cancer cell lines have shown an increase in infectivity through CAR-independent transduction, achieving higher reporter gene expression by several orders of magnitude in the primary tumor cells  .",1,original
akov and Hearst   solved relational similarity problems using the Web as a corpus,1,original
"Steps 3  to 3  can be done efficiently using techniques of Camenisch, Hohenberger, and Lysyanskaya  .",1,original
"Our model exploits the same kind of tag-n-gram information that forms the core of many successful tagging models, for example,  ,  ,  .",1,original
"Standard sequence prediction models are highly effective for supertagging, including Hidden Markov Models  , Maximum Entropy Markov Models  , and Conditional Random Fields  .",1,original
"The development of mathematical models for evolution of primary quantities of interest in bioreactor systems, as well as their incorporation into the design process, have the potential to accelerate the path to realization of optimal functional outcomes in engineered tissues; see   for a review of modeling approaches.",1,original
"Sentences are parsed using the MST dependency parser  , which implements the Eisner algorithm   for dependency parsing, and provides an efficient and robust performance.",1,original
" , various classification models and linguistic features have been proposed to improve the classification performance  .",1,original
"5 Analysis Over the last few years, several automatic metrics for machine translation evaluation have been introduced, largely to reduce the human cost of iterative system evaluation during the development cycle  .",1,original
"…and valid across a number of studies  , displays good sensitivity and specificity  , is sensitive to changes over time   and is acceptable to administer over the phone  .",1,original
"In a later study, Och and Ney   present a loglinear combination of the HMM and IBM Model 4 that produces better alignments than either of those.",1,original
Point-wise mutual information   and Relative Feature Focus   are well-known examples.,1,original
"3.2 Evaluation Metrics AER     is the most widely used metric of alignment quality, but requires gold-standard alignments labelled with sure/possible annotations to compute; lacking such annotations, we can compute alignment fmeasure instead.",1,original
…the most widely used animal model of whole ovary cryopreservation and is of comparable size to the human ovary  .,1,original
"Compared to their k-based counterparts 2D SPEN pulses can have, under the right conditions, an enhanced robustness vis-à-vis field heterogeneities and chemical shifts  .",1,original
The abduction-based approach   has provided a simple and elegant way to realize such a task.,1,original
Measurement of central BP appears to offer advantages over brachial BP for risk stratification  .,1,original
1 Introduction Possibly the most remarkable evolution of recent years in statistical machine translation is the step from word-based models to phrase-based models  .,1,original
"1 Introduction Since 1995, a few statistical parsing algorithms   demonstrated a breakthrough in parsing accuracy, as measured against the University of Pennsylvania TREEBANK as a gold standard.",1,original
"In previous work, we tested the DOP method on a cleaned-up set of analyzed part-of-speech strings from the Penn Treebank  , achieving excellent test results  .",1,original
We compare KCDML not only with the state-of-art methods including our current work—CDML   and LDA.,1,original
"The results show that, as compared to BLEU, several recently proposed metrics such as Semantic-role overlap  , ParaEval-recall  , and METEOR   achieve higher correlation.",1,original
"Support vector machines, developed by Vapnic, are based on the statistical learning theory   and recognized as an efficient and powerful regression and time series prediction technique.",1,original
"In addition, Nanog, in association with other reprogramming factors, has been shown to not only reprogram differentiated somatic cells into pluripotent stem cells  .",1,original
"Recently,   have successfully applied self-training to various parser adaptation scenarios using the reranking parser of  .",1,original
"However, the Naive Bayes classifier has been found to perform well for word-sense disambiguation both here and in a variety of other works  ,  ,  , and  ).",1,original
3 China’s role in Apple’s global supply chain   have received a great deal of attention.,1,original
An important contribution to interactive CAT technology was carried out around the TransType   project  .,1,original
"Furthermore, it has been shown that tocilizumab has an excellent ability to suppress serum amyloid A levels and could therefore be an important therapeutic strategy in amyloid A amyloidosis secondary to rheumatic diseases  .",1,original
2.1 Lexicalized parse trees The first successful work on syntactic disambiguation was based on lexicalized probabilistic context-free grammar    .,1,original
Transanal minimally invasive surgery   has emerged as an important alternative to transanal endoscopic microsurgery   capable of providing highquality local excision for rectal neoplasia  .,1,original
"On the whole, we had better results than Winslow and Brunt  , perhaps because all the operations were performed by a single surgeon in our series.",1,original
"On the other hand, the best available parsers trained on the Penn Treebank, those of Collins   and Charniak  , use statistical models for disambiguation that make crucial use of dependency relations.",1,original
Work at the University of Dundee   has shown that the extensive use of fixed text for sequences such as greetings and prestored narratives is beneficial in AAC.,1,original
"Furthermore, risk-factor awareness among patients with lower-limb ischemia is suboptimal, and one benefit of a NLC is the opportunity to educate patients.  Indeed, our results show significant benefits of a protocol-based NLC for claudicants with a 25% relative risk reduction of predicted 10-year coronary events over a 3-month period.",1,original
Introduction The creation of the Penn Treebank   and the word sense-annotated SEMCOR   have shown how even limited amounts of annotated data can result in major improvements in complex natural language understanding systems.,1,original
"Building on   and inspired by the nonconvexity challenge of PSSE, the goal of this paper is to develop a polynomial-time SE solver for AC power networks, which also features competitive statistical performance.",1,original
The superior bonding effectiveness shown in vitro  .,1,original
urneys   work is perhaps one of the most notable examples of unsupervised polarity classification,1,original
"Lexicalized PCFGs use the structural features on the lexical head of phrasal node in a tree, and get significant improvements for parsing  .",1,original
"3 The Perceptron The perceptron algorithm introduced into NLP by Collins  , is a simple but effective discriminative training method.",1,original
"This approach has been shown to be accurate, relatively efficient, and robust using both generative and discriminative models  .",1,original
"Annealing  resembles the popular bootstrapping technique  , which starts out aiming for high precision, and gradually improves coverage over time.",1,original
"The reciprocating single file systems such as Reciproc   and WaveOne   provides more flexibility of the M‐wire Ni‐Ti alloy, greater resistance to cyclic fatigue and better handling of narrow and curved canals than the traditional Ni‐Ti instruments and they are widely used in endodontic treatment.  These file systems use reciprocating movements in the preparation of root canals.",1,original
"Such methods have also been a key driver of progress in statistical machine translation, which depends heavily on unsupervised word alignments  .",1,original
"By default, the log-likelihood ratio measure   is proposed, since it was shown to be particularly suited to language data  .",1,original
"In this regard, one promising technique that has been considered is to employ variable forgetting factor   mechanisms to adjust the forgetting factor automatically  .",1,original
Autogenous bone grafts are still the most effective bone substitutes and are therefore considered the gold standard  .,1,original
"Third, for reachability query processing, we select seven state-of-the-art algorithms for comparison with our LORch algorithm, including GRAIL  .5 We test these reachability algorithms using both random and equal workloads, where each one contains 1,000,000 reachability queries.",1,original
Among the most widely studied is the Gibbs distribution  .,1,original
"1 Introduction Syntactically annotated corpora like the Penn Treebank  , the NeGra corpus   or the statistically dismnbiguated parses in   provide a wealth of intbrmation, which can only be exploited with an adequate query language.",1,original
"2 Previous Approaches Koehn, et al.?s   method of estimating phrasetranslation probabilities is very simple.",1,original
(Note: We are aware of the method   which is another variant of 2D FCN and achieved excellent performance on the neuron dataset.,1,original
Some notable efforts in this direction for other languages have been the Penn Tree Bank   for English and the Prague Dependency Bank   for Czech.,1,original
1 Introduction The most widely used alignment model is IBM Model 4  .,1,original
"When we run our classifiers on resource-tight environments such as cell-phones, we can use a random feature mixing technique   or a memory-efficient trie implementation based on a succinct data structure   to reduce required memory usage.",1,original
