Text,Sentiment
"In this paper, we give an overview of NLPWin, a multi-application natural language analysis and generation system under development at Microsoft Research  , incorporating analysis systems for 7 languages  .",Neutral
After each step the annotations were compared using the ~ statistic as reliability measure for all classification tasks  .,Neutral
"In many applications, it is natural and convenient to construct class-based language models, that is models based on classes of words  .",Neutral
The latter problem of developing methods that can work with incomplete supervisory information is addressed in a subsequent effort  .,Neutral
"c2009 Association for Computational Linguistics Semi-supervised Training for the Averaged Perceptron POS Tagger Drahomra johanka Spoustova Jan Hajic Jan Raab Miroslav Spousta Institute of Formal and Applied Linguistics Faculty of Mathematics and Physics, Charles University Prague, Czech Republic {johanka,hajic,raab,spousta}@ ufal.mff.cuni.cz Abstract This paper describes POS tagging experiments with semi-supervised training as an extension to the   averaged perceptron algorithm, first introduced for this task by  .",Neutral
"For the multilingual dependency parsing track, which was the other track of the shared task, Nilsson et al. achieved the best performance using an ensemble method  .",Positive
ang and Lee   applied two different classifiers to perform sentiment annotation in two sequential steps: the first classifier separated subjective   texts from objective   ones and then they used the second classifier to classify the subjective texts into positive and negative,Neutral
The k-best list is also frequently used in discriminative learning to approximate the whole set of candidates which is usually exponentially large  .,Neutral
he fact that information consisting of nothing more than bigrams can capture syntactic information about English has already been noted by  ,Neutral
he mutual information of a pair of words is defined in terms of their co-occurrence frequency and respective occurrence frequencies  ,Neutral
A third of this is syntactically parsed as part of the Penn Treebank   and has dialog act annotation  .,Neutral
The minimum error training   was used on the development data for parameter estimation.,Neutral
"5.4 IBM-3 Word Alignment Models Since the true distribution over alignments is not known, we used the IBM-3 statistical translation model   to approximate . This model is specified through four components: Fertility probabilities for words; Fertility probabilities for NULL; Word Translation probabilities; and Distortion probabilities.",Neutral
For evaluation we use a state-of-the-art baseline system     which works with a log-linear interpolation of feature functions optimized by MERT  .,Neutral
"In addition, the averaged parameters technology   is used to alleviate overfitting and achieve stable performance.",Positive
"In general the training set is the parsed Wall Street Journal  , with few exceptions, and the size of the training samples is around 10-20,000 test cases.",Neutral
